Name	Fraction	Experiment
20111104_Velos4_DiWa_SA_Celegans_AggregatesSILAC_DAF2_D22-4	24	AgDAF2D22
20111104_Velos4_DiWa_SA_Celegans_AggregatesSILAC_DAF2_D22-5	25	AgDAF2D22
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF2_D28-1	21	AgDAF2D28
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF2_D28-2	22	AgDAF2D28
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF2_D28-3	23	AgDAF2D28
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF2_D28-4	24	AgDAF2D28
20110927_Velos3_DiWa_SA_Celegans_AggregatesSILAC_DAF2_D28-5	25	AgDAF2D28
20120201_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Input#1-Fr01	21	AgProp.Total1
20120201_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Input#1-Fr02	22	AgProp.Total1
20120201_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Input#1-Fr03	23	AgProp.Total1
20120201_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Input#1-Fr04	24	AgProp.Total1
20120201_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Input#1-Fr05	25	AgProp.Total1
20120201_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Pellet#1-Fr01	21	AgProp.Insoluble1
20120201_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Pellet#1-Fr02	22	AgProp.Insoluble1
20120201_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Pellet#1-Fr03	23	AgProp.Insoluble1
20120201_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Pellet#1-Fr04	24	AgProp.Insoluble1
20120201_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Pellet#1-Fr05	25	AgProp.Insoluble1
20120201_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Sup#1-Fr01	21	AgProp.Soluble1
20120201_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Sup#1-Fr02	22	AgProp.Soluble1
20120201_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Sup#1-Fr03	23	AgProp.Soluble1
20120201_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Sup#1-Fr04	24	AgProp.Soluble1
20120201_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Sup#1-Fr05	25	AgProp.Soluble1
20120203_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Input#2-Fr01	21	AgProp.Total2
20120203_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Input#2-Fr02	22	AgProp.Total2
20120203_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Input#2-Fr03	23	AgProp.Total2
20120203_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Input#2-Fr04	24	AgProp.Total2
20120203_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Input#2-Fr05	25	AgProp.Total2
20120203_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Pellet#2-Fr01	21	AgProp.Insoluble2
20120203_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Pellet#2-Fr02	22	AgProp.Insoluble2
20120203_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Pellet#2-Fr03	23	AgProp.Insoluble2
20120203_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Pellet#2-Fr04	24	AgProp.Insoluble2
20120203_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Pellet#2-Fr05	25	AgProp.Insoluble2
20120203_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Sup#2-Fr01	21	AgProp.Soluble2
20120203_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Sup#2-Fr02	22	AgProp.Soluble2
20120203_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Sup#2-Fr03	23	AgProp.Soluble2
20120203_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Sup#2-Fr04	24	AgProp.Soluble2
20120203_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Sup#2-Fr05_	25	AgProp.Soluble2
20120207_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Input#3-Fr01	21	AgProp.Total3
20120207_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Input#3-Fr02	22	AgProp.Total3
20120207_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Input#3-Fr03	23	AgProp.Total3
20120207_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Input#3-Fr04	24	AgProp.Total3
20120207_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Input#3-Fr05	25	AgProp.Total3
20120207_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Pellet#3-Fr01	21	AgProp.Insoluble3
20120207_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Pellet#3-Fr02	22	AgProp.Insoluble3
20120207_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Pellet#3-Fr03	23	AgProp.Insoluble3
20120207_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Pellet#3-Fr04	24	AgProp.Insoluble3
20120207_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Pellet#3-Fr05	25	AgProp.Insoluble3
20120207_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Sup#3-Fr01	21	AgProp.Soluble3
20120207_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Sup#3-Fr02	22	AgProp.Soluble3
20120207_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Sup#3-Fr03	23	AgProp.Soluble3
20120207_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Sup#3-Fr04	24	AgProp.Soluble3
20120207_Elite1_DiWa_SA_Celegans_AggAbundanceEstim_Sup#3-Fr05	25	AgProp.Soluble3
20120202_Elite1_DiWa_Celegans_dpyProteomes_dpy28-d06	28	DPYD6dpy28
20120202_Elite1_DiWa_Celegans_dpyProteomes_dpy5-d06	28	DPYD6dpy5
20120202_Elite1_DiWa_Celegans_dpyProteomes_wt-d06	28	DPYD6wt
20100504_Velos2_DiWa_SA_Celegans_pulseTimeCourse-N2D1_1DK8p	31	PulseLabeling.D01
20100504_Velos2_DiWa_SA_Celegans_pulseTimeCourse-N2D4_1DK8p	31	PulseLabeling.D04
20100504_Velos2_DiWa_SA_Celegans_pulseTimeCourse-N2D6_1DK8p	31	PulseLabeling.D06
20100504_Velos2_DiWa_SA_Celegans_pulseTimeCourse-N2D12_1DK8p	31	PulseLabeling.D12
20110217_Orbi4_DiWa_SA_Celegans_ApSILAC_WT_t00	34	C.PulseLabeling.WT.before
20110217_Orbi4_DiWa_SA_Celegans_ApSILAC_WT_t03	34	C.PulseLabeling.WT.3days
20110217_Orbi4_DiWa_SA_Celegans_ApSILAC_WT_t06	34	C.PulseLabeling.WT.6days
20110217_Orbi4_DiWa_SA_Celegans_ApSILAC_eat-2_t00	34	C.PulseLabeling.eat2.before
20110217_Orbi4_DiWa_SA_Celegans_ApSILAC_eat-2_t03	34	C.PulseLabeling.eat2.3days
20110217_Orbi4_DiWa_SA_Celegans_ApSILAC_eat-2_t06	34	C.PulseLabeling.eat2.6days
20130129_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf16#1-1	21	AggD12DAF16-1
20130129_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf16#1-2	22	AggD12DAF16-1
20130129_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf16#1-3	23	AggD12DAF16-1
20130129_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf16#1-4	24	AggD12DAF16-1
20130129_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf16#1-5	25	AggD12DAF16-1
20130129_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf2#1-1	21	AggD12DAF2-1
20130129_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf2#1-2	22	AggD12DAF2-1
20130129_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf2#1-3	23	AggD12DAF2-1
20130129_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf2#1-4	24	AggD12DAF2-1
20130129_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf2#1-5	25	AggD12DAF2-1
20130129_Elite2_DiWa_SA_Celegans_AggregatesDay12_hsf1#1-1	21	AggD12HSF1-1
20130129_Elite2_DiWa_SA_Celegans_AggregatesDay12_hsf1#1-2	22	AggD12HSF1-1
20130129_Elite2_DiWa_SA_Celegans_AggregatesDay12_hsf1#1-3	23	AggD12HSF1-1
20130129_Elite2_DiWa_SA_Celegans_AggregatesDay12_hsf1#1-4	24	AggD12HSF1-1
20130129_Elite2_DiWa_SA_Celegans_AggregatesDay12_hsf1#1-5	25	AggD12HSF1-1
20130129_Elite2_DiWa_SA_Celegans_AggregatesDay12_WT#1-1	21	AggD12WT-1
20130129_Elite2_DiWa_SA_Celegans_AggregatesDay12_WT#1-2	22	AggD12WT-1
20130129_Elite2_DiWa_SA_Celegans_AggregatesDay12_WT#1-3	23	AggD12WT-1
20130129_Elite2_DiWa_SA_Celegans_AggregatesDay12_WT#1-4	24	AggD12WT-1
20130129_Elite2_DiWa_SA_Celegans_AggregatesDay12_WT#1-5	25	AggD12WT-1
20130208_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf16#2-1	21	AggD12DAF16-2
20130208_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf16#2-2	22	AggD12DAF16-2
20130208_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf16#2-3	23	AggD12DAF16-2
20130208_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf16#2-4	24	AggD12DAF16-2
20130208_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf16#2-5	25	AggD12DAF16-2
20130207_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf2#2-1	21	AggD12DAF2-2
20130207_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf2#2-2	22	AggD12DAF2-2
20130207_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf2#2-3	23	AggD12DAF2-2
20130207_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf2#2-4	24	AggD12DAF2-2
20130207_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf2#2-5	25	AggD12DAF2-2
20130208_Elite2_DiWa_SA_Celegans_AggregatesDay12_hsf1#2-1	21	AggD12HSF1-2
20130208_Elite2_DiWa_SA_Celegans_AggregatesDay12_hsf1#2-2	22	AggD12HSF1-2
20130208_Elite2_DiWa_SA_Celegans_AggregatesDay12_hsf1#2-3	23	AggD12HSF1-2
20130208_Elite2_DiWa_SA_Celegans_AggregatesDay12_hsf1#2-4	24	AggD12HSF1-2
20130208_Elite2_DiWa_SA_Celegans_AggregatesDay12_hsf1#2-5	25	AggD12HSF1-2
20130207_Elite2_DiWa_SA_Celegans_AggregatesDay12_WT#2-1	21	AggD12WT-2
20130207_Elite2_DiWa_SA_Celegans_AggregatesDay12_WT#2-2	22	AggD12WT-2
20130207_Elite2_DiWa_SA_Celegans_AggregatesDay12_WT#2-3	23	AggD12WT-2
20130207_Elite2_DiWa_SA_Celegans_AggregatesDay12_WT#2-4	24	AggD12WT-2
20130207_Elite2_DiWa_SA_Celegans_AggregatesDay12_WT#2-5	25	AggD12WT-2
20130212_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf16#3-1	21	AggD12DAF16-3
20130212_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf16#3-2	22	AggD12DAF16-3
20130212_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf16#3-3	23	AggD12DAF16-3
20130212_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf16#3-4	24	AggD12DAF16-3
20130212_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf16#3-5	25	AggD12DAF16-3
20130211_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf2#3-1	21	AggD12DAF2-3
20130211_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf2#3-2	22	AggD12DAF2-3
20130211_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf2#3-3	23	AggD12DAF2-3
20130211_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf2#3-4	24	AggD12DAF2-3
20130211_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf2#3-5	25	AggD12DAF2-3
20130212_Elite2_DiWa_SA_Celegans_AggregatesDay12_hsf1#3-1	21	AggD12HSF1-3
20130212_Elite2_DiWa_SA_Celegans_AggregatesDay12_hsf1#3-2	22	AggD12HSF1-3
20130212_Elite2_DiWa_SA_Celegans_AggregatesDay12_hsf1#3-3	23	AggD12HSF1-3
20130212_Elite2_DiWa_SA_Celegans_AggregatesDay12_hsf1#3-4	24	AggD12HSF1-3
20130212_Elite2_DiWa_SA_Celegans_AggregatesDay12_hsf1#3-5	25	AggD12HSF1-3
20130211_Elite2_DiWa_SA_Celegans_AggregatesDay12_WT#3-1	21	AggD12WT-3
20130211_Elite2_DiWa_SA_Celegans_AggregatesDay12_WT#3-2	22	AggD12WT-3
20130211_Elite2_DiWa_SA_Celegans_AggregatesDay12_WT#3-3	23	AggD12WT-3
20130211_Elite2_DiWa_SA_Celegans_AggregatesDay12_WT#3-4	24	AggD12WT-3
20130211_Elite2_DiWa_SA_Celegans_AggregatesDay12_WT#3-5	25	AggD12WT-3
20130213_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf16#4-1	21	AggD12DAF16-4
20130213_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf16#4-2	22	AggD12DAF16-4
20130213_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf16#4-3	23	AggD12DAF16-4
20130213_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf16#4-4	24	AggD12DAF16-4
20130213_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf16#4-5	25	AggD12DAF16-4
20130213_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf2#4-1	21	AggD12DAF2-4
20130213_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf2#4-2	22	AggD12DAF2-4
20130213_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf2#4-3	23	AggD12DAF2-4
20130213_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf2#4-4	24	AggD12DAF2-4
20130213_Elite2_DiWa_SA_Celegans_AggregatesDay12_daf2#4-5	25	AggD12DAF2-4
20130213_Elite2_DiWa_SA_Celegans_AggregatesDay12_hsf1#4-1	21	AggD12HSF1-4
20130213_Elite2_DiWa_SA_Celegans_AggregatesDay12_hsf1#4-2	22	AggD12HSF1-4
20130213_Elite2_DiWa_SA_Celegans_AggregatesDay12_hsf1#4-3	23	AggD12HSF1-4
20130213_Elite2_DiWa_SA_Celegans_AggregatesDay12_hsf1#4-4	24	AggD12HSF1-4
20130213_Elite2_DiWa_SA_Celegans_AggregatesDay12_hsf1#4-5	25	AggD12HSF1-4
20130213_Elite2_DiWa_SA_Celegans_AggregatesDay12_WT#4-1	21	AggD12WT-4
20130213_Elite2_DiWa_SA_Celegans_AggregatesDay12_WT#4-2	22	AggD12WT-4
20130213_Elite2_DiWa_SA_Celegans_AggregatesDay12_WT#4-3	23	AggD12WT-4
20130213_Elite2_DiWa_SA_Celegans_AggregatesDay12_WT#4-4	24	AggD12WT-4
20130213_Elite2_DiWa_SA_Celegans_AggregatesDay12_WT#4-5	25	AggD12WT-4
